Timestamp,Source IP,Dest IP,Protocol,Length,Port
2025-10-21 09:04:51,10.0.0.227,192.168.1.168,TCP,226,3389
2025-10-21 09:07:51,128.79.38.148,192.168.1.39,FTP,1078,21
2025-10-21 09:10:01,98.183.56.157,102.82.233.191,SSH,1137,22
2025-10-21 09:12:52,158.121.146.7,10.0.0.51,HTTP,274,80
2025-10-21 09:16:23,219.244.46.56,172.16.13.188,SSH,685,22
2025-10-21 09:16:35,120.104.151.215,225.242.135.155,ICMP,310,26192
2025-10-21 09:17:37,156.51.181.67,207.21.218.254,SSH,1413,22
2025-10-21 09:22:15,204.95.133.232,245.72.236.233,FTP,151,21
2025-10-21 09:23:15,158.121.146.7,192.168.1.188,UDP,1264,443
2025-10-21 09:27:49,236.164.116.80,191.200.151.202,HTTPS,1342,443
2025-10-21 09:29:02,184.191.228.193,172.16.20.15,FTP,162,21
2025-10-21 09:39:46,172.65.142.200,10.0.0.221,HTTP,574,80
2025-10-21 09:41:34,182.71.168.10,172.16.24.66,UDP,1155,22
2025-10-21 09:42:43,10.0.0.170,120.104.151.215,ICMP,690,64372
2025-10-21 09:42:49,98.183.56.157,163.204.242.127,SSH,490,22
2025-10-21 09:43:00,99.72.201.146,4.237.127.49,DNS,1229,53
2025-10-21 09:43:12,38.195.20.90,192.168.1.112,TCP,934,110
2025-10-21 09:44:20,10.0.0.227,231.28.215.172,HTTPS,589,443
2025-10-21 09:47:12,225.242.135.155,139.166.149.206,HTTPS,1201,443
2025-10-21 09:47:29,120.104.151.215,172.16.10.180,HTTPS,1295,443
2025-10-21 09:56:58,192.168.1.244,107.154.27.242,UDP,395,443
2025-10-21 09:58:30,163.61.33.199,102.230.233.118,HTTP,644,80
2025-10-21 09:58:59,99.72.201.146,156.51.181.67,SSH,275,22
2025-10-21 09:59:00,192.168.1.60,10.0.0.171,ICMP,1050,34298
2025-10-21 09:59:49,174.141.102.235,192.168.1.244,HTTPS,1366,443
2025-10-21 10:03:43,102.82.233.191,120.104.151.215,SSH,891,22
2025-10-21 10:04:03,192.168.1.154,99.72.201.146,SSH,1462,22
2025-10-21 10:07:22,159.253.141.193,205.55.230.169,HTTPS,143,443
2025-10-21 10:09:22,98.183.56.157,192.168.1.60,SSH,1378,22
2025-10-21 10:15:18,10.0.0.218,99.253.171.114,HTTPS,1196,443
2025-10-21 10:17:22,80.142.135.225,192.168.1.243,TCP,1355,27336
2025-10-21 10:17:28,106.76.10.114,159.253.141.193,SSH,96,22
2025-10-21 10:20:46,192.168.1.212,182.71.168.10,ICMP,1393,60427
2025-10-21 10:22:50,169.8.208.19,234.53.122.107,DNS,1247,53
2025-10-21 10:25:01,182.150.220.213,123.77.76.1,DNS,171,53
2025-10-21 10:25:06,192.168.1.155,59.242.214.87,HTTP,871,80
2025-10-21 10:26:32,10.0.0.221,207.21.218.254,DNS,652,53
2025-10-21 10:27:57,172.16.16.142,175.254.240.69,UDP,1252,143
2025-10-21 10:29:32,73.221.152.2,10.0.0.254,DNS,78,53
